-0.2500	-0.2500	-0.2500	-0.2500	-0.3536	0.0036	0.3536	-0.0445	0.3536	-0.0289	0.3536	0.0240	0.3536	0.3536	0.0002	0.0332	
-0.2500	0.2500	-0.2500	0.2500	-0.2980	0.1934	0.1313	-0.3422	-0.1408	0.3347	0.1408	-0.3140	-0.1313	-0.2980	-0.1904	-0.3391	
-0.2500	0.2500	0.2500	-0.2500	-0.2500	0.2526	0.0000	-0.3507	-0.2500	0.2696	-0.2500	0.2325	-0.0000	0.2500	0.2501	0.3520	
-0.2500	-0.2500	0.2500	0.2500	-0.0761	0.3460	-0.3283	-0.0890	-0.1297	-0.3172	0.1297	0.3369	0.3283	-0.0761	-0.3453	-0.0999	
-0.2500	-0.2500	-0.2500	-0.2500	-0.0000	0.3535	-0.3536	0.0445	0.0000	-0.3524	-0.0000	-0.3527	-0.3536	-0.0000	0.3536	-0.0332	
-0.2500	0.2500	-0.2500	0.2500	0.1903	0.2960	-0.1313	0.3422	0.3243	0.1138	-0.3243	-0.1625	0.1313	0.1903	-0.2979	0.3391	
-0.2500	0.2500	0.2500	-0.2500	0.2500	0.2474	-0.0000	0.3507	0.2500	0.2287	0.2500	0.2664	0.0000	-0.2500	0.2499	-0.3520	
-0.2500	-0.2500	0.2500	0.2500	0.3453	0.0726	0.3283	0.0890	-0.3289	0.1562	0.3289	-0.1071	-0.3283	0.3453	-0.0760	0.0999	
-0.2500	-0.2500	-0.2500	-0.2500	0.3536	-0.0036	0.3536	-0.0445	-0.3536	0.0289	-0.3536	-0.0240	0.3536	-0.3536	-0.0002	0.0332	
-0.2500	0.2500	-0.2500	0.2500	0.2980	-0.1934	0.1313	-0.3422	0.1408	-0.3347	-0.1408	0.3140	-0.1313	0.2980	0.1904	-0.3391	
-0.2500	0.2500	0.2500	-0.2500	0.2500	-0.2526	0.0000	-0.3507	0.2500	-0.2696	0.2500	-0.2325	-0.0000	-0.2500	-0.2501	0.3520	
-0.2500	-0.2500	0.2500	0.2500	0.0761	-0.3460	-0.3283	-0.0890	0.1297	0.3172	-0.1297	-0.3369	0.3283	0.0761	0.3453	-0.0999	
-0.2500	-0.2500	-0.2500	-0.2500	0.0000	-0.3535	-0.3536	0.0445	-0.0000	0.3524	0.0000	0.3527	-0.3536	0.0000	-0.3536	-0.0332	
-0.2500	0.2500	-0.2500	0.2500	-0.1903	-0.2960	-0.1313	0.3422	-0.3243	-0.1138	0.3243	0.1625	0.1313	-0.1903	0.2979	0.3391	
-0.2500	0.2500	0.2500	-0.2500	-0.2500	-0.2474	-0.0000	0.3507	-0.2500	-0.2287	-0.2500	-0.2664	0.0000	0.2500	-0.2499	-0.3520	
-0.2500	-0.2500	0.2500	0.2500	-0.3453	-0.0726	0.3283	0.0890	0.3289	-0.1562	-0.3289	0.1071	-0.3283	-0.3453	0.0760	0.0999	
